Qubits,Method,CZ Operations,Error
2,SEEQST,0,0.016409
2,SEEQST,1,0.027688
2,Standard QST,0,0.011937
3,SEEQST,0,0.009257
3,SEEQST,1,0.011243
3,SEEQST,4,0.012330
3,SEEQST,2,0.012422
3,Standard QST,0,0.007096
4,SEEQST,0,0.003726
4,SEEQST,4,0.006348
4,SEEQST,1,0.004884
4,SEEQST,2,0.006535
4,SEEQST,5,0.007307
4,SEEQST,3,0.008731
4,Standard QST,0,0.003435
5,SEEQST,0,0.002031
5,SEEQST,4,0.003977
5,SEEQST,1,0.002959
5,SEEQST,2,0.003591
5,SEEQST,5,0.004580
5,SEEQST,3,0.004698
5,SEEQST,7,0.005071
5,SEEQST,6,0.004682
5,Standard QST,0,0.002325
