sample_size,M,N,mean_f,std_f
100,0,1,0.0374716054729724,0.02865561416694
200,0,1,0.025027813161584,0.0203689418518894
400,0,1,0.0186201439397986,0.0142365807672098
800,0,1,0.011722443636228,0.0090942045657742
1600,0,1,0.0082844144143976,0.0080791568516196
3200,0,1,0.0061677628444528,0.0048296054454872
6400,0,1,0.004799805802216,0.0039970641887842
12800,0,1,0.0032151301607396,0.0024492843481092
25600,0,1,0.001894205622604,0.0014269379290366
51200,0,1,0.0016439086110626,0.0012701016299858
100,1,1,0.0695634575584206,0.0457031628678884
200,1,1,0.0577674638992312,0.0307495055239236
400,1,1,0.04053822815824,0.0209482307756544
800,1,1,0.0283670704267964,0.0140207201082682
1600,1,1,0.0202263239906252,0.0104115397936536
3200,1,1,0.0125467054094676,0.0064442210895748
6400,1,1,0.0095264551199168,0.004499328328682
12800,1,1,0.007514473907928,0.0036135318570236
25600,1,1,0.004239111382707,0.0023999424069496
51200,1,1,0.0036695145092614,0.0018677276779678
100,0,2,0.0304834203537528,0.0132791271577824
200,0,2,0.0220396331571628,0.0108625113167152
400,0,2,0.0173604808492168,0.0074086283623404
800,0,2,0.011966238300028,0.00498016246211
1600,0,2,0.0079550953493052,0.0029457226632984
3200,0,2,0.0053620330194028,0.0023792115389636
6400,0,2,0.0043354302007464,0.0018593436973972
12800,0,2,0.002819239635644,0.0012268109632536
25600,0,2,0.0022165298574504,0.0010901809513224
51200,0,2,0.001543309440102,0.0006911029380808
100,1,2,0.0651575232817672,0.0228559554975216
200,1,2,0.0411932533451196,0.0163321012778624
400,1,2,0.0294315216877984,0.0103554006288092
800,1,2,0.0200291666351092,0.0075391788495136
1600,1,2,0.0145109165408328,0.0053139366114316
3200,1,2,0.0099709727816248,0.003954671679046
6400,1,2,0.00733187158029,0.0029559299961136
12800,1,2,0.0051620805078236,0.0018933251743804
25600,1,2,0.0035845833163656,0.0014688398917504
51200,1,2,0.002738115568462,0.0010898448899136
100,2,2,0.0779815534853648,0.0273483107624072
200,2,2,0.0605105349852196,0.0233867361284032
400,2,2,0.0404400341225504,0.0131000536737568
800,2,2,0.0297906118806972,0.0119774273257348
1600,2,2,0.0213072007873644,0.0079889842453024
3200,2,2,0.0151652706332892,0.0053981528814864
6400,2,2,0.0101342810311792,0.0044054961130232
12800,2,2,0.0069799421707488,0.0026482084362688
25600,2,2,0.0052864454406824,0.0017172622181136
51200,2,2,0.0039099238961356,0.0013687119149764
100,0,3,0.0257540031479568,0.006479967030796
200,0,3,0.0182711798236008,0.00520904834828
400,0,3,0.0127721244147432,0.003920312560576
800,0,3,0.0090744780154728,0.0024783222204568
1600,0,3,0.006425872333556,0.001722997971244
3200,0,3,0.004696537504884,0.001337241946812
6400,0,3,0.0031186505747344,0.00102639874862
12800,0,3,0.0022776110641112,0.0007192631401626129
25600,0,3,0.0016051804838368,0.00044960422764596695
51200,0,3,0.0010919991226208,0.0003279125259957579
100,1,3,0.042138687625832,0.0117094151803288
200,1,3,0.0307910538678952,0.008756475551884
400,1,3,0.0218221228640712,0.0059102642266576
800,1,3,0.0148542412780968,0.003343818949184
1600,1,3,0.0102614152539872,0.0024979316536464
3200,1,3,0.007671646226152,0.001940594018052
6400,1,3,0.0051518036842312,0.0014814545792984
12800,1,3,0.0040049159504608,0.0010151803174392
25600,1,3,0.0027809229760512,0.0007085524555180294
51200,1,3,0.002041516827572,0.0005359568843186432
100,2,3,0.0587488159960408,0.0147396070172
200,2,3,0.044306967969608,0.0126587696874064
400,2,3,0.0304718181806832,0.0082679420432688
800,2,3,0.0216785707121376,0.0051517953127064
1600,2,3,0.0144178054979856,0.004074132553656
3200,2,3,0.011408453364708,0.0030462790250512
6400,2,3,0.0078357819199856,0.002201564096136
12800,2,3,0.005186888674884,0.0013520999424512
25600,2,3,0.0034516553032096,0.0010180625307552
51200,2,3,0.0026318667357016,0.0008355879599704
96,3,3,0.0707934627708464,0.0145183174151872
200,3,3,0.0576085346664336,0.0148270721511592
400,3,3,0.039495269531784,0.0117722190244552
800,3,3,0.0297816682802144,0.0079763295626744
1600,3,3,0.0213520182342296,0.0053435748325408
3200,3,3,0.0151180426392544,0.003888633960576
6400,3,3,0.0106332314223664,0.0028842763536568
12800,3,3,0.0075102905930232,0.0019449213560632
25600,3,3,0.0049767135699008,0.0011727902851064
51200,3,3,0.0038730973779792,0.0009391252022664
100,0,4,0.0195696963050656,0.004446262376544
200,0,4,0.0134766425049504,0.0025419284213632
400,0,4,0.0099177201164288,0.0018041655384432
800,0,4,0.006643552398088,0.0015576049615705738
1600,0,4,0.0049966860135344,0.000968645933344357
3200,0,4,0.0034731976624608,0.0005851918529586053
6400,0,4,0.0023700219870832,0.0004156465417783437
12800,0,4,0.0017159885695488,0.000329028311453458
25600,0,4,0.0012681460946895179,0.00025701369170742403
51200,0,4,0.0008433618324833683,0.0001458471394945552
100,1,4,0.0329410984824576,0.0065458382009968
200,1,4,0.0212588410405408,0.0037388366121824
400,1,4,0.0142613996540912,0.0026865101085216
800,1,4,0.0113644453688,0.002415088005568
1600,1,4,0.0077714587155536,0.001585874205808751
3200,1,4,0.0054756190526128,0.0011286230013203028
6400,1,4,0.0042132936896432,0.0008184677858184268
12800,1,4,0.0024942680423136,0.00046621172662347673
25600,1,4,0.0019272995479904,0.0004175530043814455
51200,1,4,0.0012821579568381934,0.0002478304070535593
100,2,4,0.0407227640623776,0.004722414450056
200,2,4,0.030877432243264,0.0057399679214048
400,2,4,0.0230687809022832,0.003825400622912
800,2,4,0.015553657482816,0.0022741708635488
1600,2,4,0.010846982631736,0.0019038689347776
3200,2,4,0.0078017143145728,0.0013953748521168916
6400,2,4,0.0053519879613184,0.001199773392146461
12800,2,4,0.0038346646001392,0.0007365440875885331
25600,2,4,0.0029451340751008,0.000655728666174076
51200,2,4,0.002056120289288,0.000313935701572906
96,3,4,0.0424790423175632,0.0063898021765376
200,3,4,0.0370717404647008,0.0069079742356464
400,3,4,0.0293027121851168,0.0058321462033264
800,3,4,0.0237158667866784,0.0033678929961408
1600,3,4,0.0149713696435248,0.0024281370452128
3200,3,4,0.0106559092078928,0.0013962608156762098
6400,3,4,0.0081175853173968,0.0016463651039344
12800,3,4,0.0053834238434608,0.001011105157142551
25600,3,4,0.0034037291201392,0.000541020433981564
51200,3,4,0.002617100432752,0.0004597294779993405
96,4,4,0.037295000038464,0.0067339234156224
192,4,4,0.0383685856685728,0.0065544707566944
400,4,4,0.0335298972870688,0.0048579412219536
800,4,4,0.02983216534692,0.0049214511261664
1600,4,4,0.0240443706186416,0.003994996850064
3200,4,4,0.0149979851556176,0.0026957112869568
6400,4,4,0.010794748146464,0.0019557564610848
12800,4,4,0.007362472367848,0.0012466119318153277
25600,4,4,0.0050695374702192,0.0009472493713604653
51200,4,4,0.003848359301712,0.0007783560103962137
100,0,5,0.0139882339105568,0.0019123839159498567
200,0,5,0.0099786078484416,0.0013018239158450373
400,0,5,0.0067694163726592,0.0007460832141803365
800,0,5,0.0048541252539936,0.0006482407390524264
1600,0,5,0.0035337136129312,0.000460135919392471
3200,0,5,0.0023858740152356904,0.0004018788362588585
6400,0,5,0.0016865687273763294,0.0002433774323476818
12800,0,5,0.0012454869045344685,0.00018069381947128076
25600,0,5,0.0008579742057306141,0.00013652896418681892
51200,0,5,0.0006038675603630168,8.70031559508807e-05
100,1,5,0.022486219682656,0.0028672492860964396
200,1,5,0.0156355757651328,0.001696783219765153
400,1,5,0.011307067540368,0.0014908960113832013
800,1,5,0.0077809413639136,0.0009624786187332697
1600,1,5,0.0055278704496832,0.0006642759002947066
3200,1,5,0.0039628797730624,0.0005543050988146326
6400,1,5,0.0028172244966225396,0.00033490300752573844
12800,1,5,0.0019866147150545063,0.00028558193079131314
25600,1,5,0.001336052391113199,0.00012931140105349086
51200,1,5,0.0009555232614933145,9.938204175294784e-05
100,2,5,0.0235790248672928,0.0022082776159248678
200,2,5,0.020512656799424,0.0019119429024720698
400,2,5,0.0159459228890464,0.0020147595833063486
800,2,5,0.0112219839693664,0.0013881024240653972
1600,2,5,0.0079182432362528,0.0010108953838249008
3200,2,5,0.005487032681808,0.0006652842192529056
6400,2,5,0.0039470271452224,0.0003768942701987962
12800,2,5,0.0027612307393055646,0.0003113857515084363
25600,2,5,0.0019070435261467386,0.0002855994344233127
51200,2,5,0.0013886403211931235,0.00018585968290385876
96,3,5,0.0227001913165152,0.0019227464923765602
200,3,5,0.0214201490943552,0.002306953733793566
400,3,5,0.0202852245328096,0.0017952565109596809
800,3,5,0.0152888926925536,0.001970229197436965
1600,3,5,0.0113543111106144,0.0012100105836387808
3200,3,5,0.0078612327850432,0.0010997579885267882
6400,3,5,0.0056729384461024,0.0006245621222681228
12800,3,5,0.0039474083570752,0.0004832443689843828
25600,3,5,0.0028140562032820085,0.0003067688595798758
51200,3,5,0.002002986097048192,0.0003204802337117668
96,4,5,0.0217187887098016,0.0018972529426700341
192,4,5,0.0200102764820128,0.0021637115499126424
400,4,5,0.0187468054799712,0.0016610797397256993
800,4,5,0.017627026749632,0.0019594754785991113
1600,4,5,0.0155436418019328,0.0019492937460704922
3200,4,5,0.0110830106865696,0.0012421969294875847
6400,4,5,0.0080770399204256,0.0010972053277189552
12800,4,5,0.0055692290309312,0.0006462339256971892
25600,4,5,0.0038401354630304,0.0005460601167057399
51200,4,5,0.002782457698079025,0.0003480930623163012
96,5,5,0.0188484428629856,0.0023774302558917993
192,5,5,0.0167603186281088,0.0020397394641410763
384,5,5,0.0164223784853504,0.0019118959480146002
800,5,5,0.0157473345976192,0.0016512837362845062
1600,5,5,0.0150454833631072,0.0019540248642781347
3200,5,5,0.0147420790574496,0.0018419557129179087
6400,5,5,0.0115999472868704,0.001288381102157087
12800,5,5,0.0076009695380832,0.0010028804722141602
25600,5,5,0.0055217184274752,0.000818922498262665
51200,5,5,0.00378560001048,0.0005068754920630375
1000,0,6,0.003076824537846359,0.0002871088405933739
2000,0,6,0.0022040373751468444,0.0002703513852838626
4000,0,6,0.0015801055936463426,0.00015926711700162168
8000,0,6,0.0011143543621479665,9.206490690281216e-05
16000,0,6,0.0007843500361270898,6.047348557819931e-05
32000,0,6,0.0005610612776178555,6.482765973905433e-05
64000,0,6,0.000393801031738804,4.3128359389769644e-05
128000,0,6,0.00027537081131804485,1.9786010818921703e-05
256000,0,6,0.00019368517899528103,1.4777940305222585e-05
512000,0,6,0.0001371941050080562,1.3207571403447837e-05
1000,1,6,0.005052650566399638,0.00039749874642144595
2000,1,6,0.0035684740093069665,0.0003409172581213283
4000,1,6,0.002405899294688304,0.0002057308307559757
8000,1,6,0.0017392214989243278,0.00016565104668313802
16000,1,6,0.0012204030362224665,0.00011283734863071934
32000,1,6,0.0008652173823953077,6.447304500963699e-05
64000,1,6,0.0006048254264266644,5.2768649061966405e-05
128000,1,6,0.0004468236506598482,3.926562800398529e-05
256000,1,6,0.00031364791294300577,3.1667642476828066e-05
512000,1,6,0.00022178514814335138,2.1042782777803137e-05
1000,2,6,0.0072801309175808,0.000504080047024894
2000,2,6,0.004846974640378232,0.0003843127063046825
4000,2,6,0.0035411965442822906,0.0004112621089535082
8000,2,6,0.0024986430854486577,0.0002229831630861026
16000,2,6,0.0017548254705945373,0.00013926615143833765
32000,2,6,0.0012242955146002847,8.10429386610472e-05
64000,2,6,0.0008582600833738386,6.584232418156542e-05
128000,2,6,0.0006045740605629408,5.6474387235726546e-05
256000,2,6,0.0004417331660369787,3.816328461236171e-05
512000,2,6,0.00030989510166676965,3.3632836852729053e-05
1000,3,6,0.009406302040896,0.0008054379125451898
2000,3,6,0.007131975792672,0.0005753807154066492
4000,3,6,0.005010974861758448,0.0004945694107924739
8000,3,6,0.0034634923882836018,0.00036989365093508057
16000,3,6,0.002441419590702128,0.000261188717057936
32000,3,6,0.0017451549792462146,0.00017591846094987092
64000,3,6,0.0012202703247853456,8.896062671909699e-05
128000,3,6,0.0008529730453664438,7.648354769756252e-05
256000,3,6,0.0006120250283471429,4.2615634600707986e-05
512000,3,6,0.00044617563381514527,4.5822553841075984e-05
992,4,6,0.0092351096484416,0.0005899187571135291
2000,4,6,0.0087384961992384,0.000704940825785414
4000,4,6,0.0072051418102784,0.0007583610162699968
8000,4,6,0.0050171083873561855,0.0004996665181282419
16000,4,6,0.00352886638450837,0.0002723974494314626
32000,4,6,0.0024532730528843633,0.0001921876580588639
64000,4,6,0.0017582748679110533,0.0001551358387769762
128000,4,6,0.0012629307481301084,7.476141407789248e-05
256000,4,6,0.0008785292614875941,6.438746248379214e-05
512000,4,6,0.000602526808976654,5.226051788633281e-05
992,5,6,0.0080344760593664,0.0006807531758666251
1984,5,6,0.0078598388290112,0.0005554289215693035
4000,5,6,0.0080402444610496,0.0006116914149693135
8000,5,6,0.0069308795178048,0.0007142700267349118
16000,5,6,0.0051076381933050745,0.000548718543985619
32000,5,6,0.0036008739647503674,0.0004616478483622115
64000,5,6,0.002467899285381803,0.0001712966463216994
128000,5,6,0.0017077361223120323,0.00013222024287913754
256000,5,6,0.0012309483972060549,0.000147088219327849
512000,5,6,0.0008661310604753434,7.550552547178314e-05
1024,6,6,0.0070064054164928,0.000509466640848968
1984,6,6,0.006737679770816,0.0005351230530758755
3968,6,6,0.0068331728728448,0.0003897596590422733
8000,6,6,0.0071012493724608,0.0006108167959634834
16000,6,6,0.0070369692123392,0.0006429275149864887
32000,6,6,0.004957270523014685,0.0005275070968910742
64000,6,6,0.003513437686808398,0.00032718840670681174
128000,6,6,0.0024477418116224015,0.00022049027839073925
256000,6,6,0.0017034311714548838,0.0001516460871454267
512000,6,6,0.0012000512096273946,9.90375713961347e-05
