N,Number of subsets,del_err(Direct Estimation),std_del_err(Direct Estimation),del_err(MLE),std_del_err(MLE)
5,1,0.001234056469755266,0.00015829265810146076,0.0012292661231211568,0.00016053093555680557
5,2,0.003418693866360123,0.0003488606596561856,0.0012177247534485133,0.00011056691678578928
5,3,0.0042340065595029555,0.0005764746094504591,0.0012040798417178595,9.395318697523603e-05
5,4,0.004364727794926955,0.00046718908279985575,0.0012078790209015225,8.167217381245737e-05
5,5,0.004575839255625644,0.00043348746430898794,0.0012126584399053968,7.38784192582015e-05
5,6,0.004813773826094088,0.00043998610419322616,0.0012210746915889657,6.371997291658802e-05
5,7,0.004942838621732361,0.00039835695957367084,0.0012081282410743798,5.448018033568834e-05
5,8,0.005088158361088228,0.00035114120952469134,0.0012121394460336253,5.43607824957744e-05
5,9,0.005029488787165276,0.000374850287686261,0.0012111208095346086,5.047034389371277e-05
5,10,0.005200816444203322,0.0003975800931479521,0.0012091219631834922,4.474553092396052e-05
5,11,0.005252980193744195,0.0003794729981256867,0.0012089411279315953,4.722975860422534e-05
5,12,0.005279745051294845,0.00032820453829880214,0.0012128411597352431,4.3611607663284396e-05
5,13,0.00520288109354521,0.00037181164705524147,0.0012141037433570734,4.328188426890911e-05
5,14,0.0053308820645848526,0.0003537909613616498,0.0012114857463173456,3.8847016849181246e-05
5,15,0.00517017384654053,0.00038085581584526796,0.0012117237312359896,4.477367161799121e-05
5,16,0.0053135023550932555,0.0003217052653863346,0.0012107041125670008,3.7327961589347844e-05
5,17,0.005191149174514339,0.00030122102489360894,0.0012115211887184893,3.8285415172116816e-05
5,18,0.005409767081762614,0.0003154218983191606,0.0012114820698350677,3.432242557475751e-05
5,19,0.00524265378306399,0.00031512092406411505,0.0012070177202168656,3.40209608592009e-05
5,20,0.0052966735466953695,0.00031518362902124137,0.0012096309816084512,3.37768572942302e-05
5,21,0.005295017491372413,0.000317481164012183,0.0012117152007874257,3.780023215498944e-05
5,22,0.0053327787339977175,0.00025513291407409006,0.0012085079188379143,3.47912941715072e-05
5,23,0.005307219319870091,0.00023983870934017558,0.0012065479666634356,3.072106364080743e-05
5,24,0.005303701226254354,0.00038422988326165,0.0012107507216227117,3.2002873496045246e-05
5,25,0.005374781694664779,0.00028087061746183704,0.001201742572164422,3.2623968655295144e-05
5,26,0.005417179654258447,0.0002920374552678865,0.0011920635975654,3.1070272853847e-05
5,27,0.005281795283846335,0.0002944952830553443,0.0011802980274894554,2.8808602207726952e-05
5,28,0.005414359140287465,0.00024690523313949806,0.001165784238040728,2.9956393689655158e-05
5,29,0.005444649300682371,0.00023473659702949394,0.001151809119621892,2.978606278429852e-05
5,30,0.00534970422166949,0.0002366378116621788,0.001139806491622969,2.800328350921702e-05
5,31,0.005381810842291388,0.00023536516954039861,0.0011279811926422733,2.8489652636816725e-05
